"cat_id","categoria","subcat_id_1","subcategoria_1","subcat_id_2","subcategoria_2","subcat_id_3","subcategoria_3","subcat_id_4","subcategoria_4","subcat_id_5","subcategoria_5","subcat_id_6","subcategoria_6"
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437561","Lingas y Candados","MLM437563","Candados","MLM431875","Candados de Discos",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437561","Lingas y Candados","MLM437563","Candados","MLM437568","Candados de Seguridad",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437561","Lingas y Candados","MLM437563","Candados","MLM437569","Otros",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437561","Lingas y Candados","MLM437562","Lingas","MLM437564","De Remolque",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437561","Lingas y Candados","MLM437562","Lingas","MLM437565","De Seguridad",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437561","Lingas y Candados","MLM437562","Lingas","MLM437566","Otros",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437561","Lingas y Candados","MLM437571","Otros",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM92157","Mochilas y Bolsos",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM189047","Parabrisas",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM430685","Posapies para Cuatrimotos",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM190004","Protectores de Manos",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM431885","Protectores de Manubrios",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM431883","Protectores de Radiadores",NA,NA,NA,NA,NA,NA,NA,NA
