"id","title","id_vendedor","price","condition","thumbnail","original_price","Descuento"
"MLM1332195934","Motorola Moto G60 128gb - 6gb Ram Desbloqueado Plata",183830593,4348,"new","http://http2.mlstatic.com/D_739538-MLA47133440073_082021-O.jpg",NA,NA
"MLM1471472368","Celular Moto G42 6.4'' 4gb + 128gb Android 12 Liberado",527927603,4999,"new","http://http2.mlstatic.com/D_770185-MLA50927343637_072022-O.jpg",NA,NA
"MLM1423094945","Motorola Moto G200 5g 8gb 128gb Azul",259475044,9764.07,"new","http://http2.mlstatic.com/D_828589-MLM49982924114_052022-O.jpg",NA,NA
"MLM1349260575","Celular Motorola Moto G31 128gb Gris",399712329,3799,"new","http://http2.mlstatic.com/D_911288-MLM48406781562_122021-O.jpg",NA,NA
"MLM1345519968","Motorola Moto E40 4gb 64gb Gris",259475044,3107.16,"new","http://http2.mlstatic.com/D_707605-MLM48322260392_112021-O.jpg",NA,NA
"MLM1363016413","Motorola Moto E40 2021 64gb - 4gb Ram Desbloqueado Gris",183830593,2899,"new","http://http2.mlstatic.com/D_737124-MLA48573324866_122021-O.jpg",NA,NA
"MLM1445409299","Motorola G22 64gb - 4gb Ram Desbloqueado Nuevo Azul",183830593,3087,"new","http://http2.mlstatic.com/D_604467-MLA50262316032_062022-O.jpg",NA,NA
"MLM1389738595"," Moto G50 Dual Sim 64 Gb Steel Grey 4 Gb Ram",298218476,3999,"new","http://http2.mlstatic.com/D_833089-MLA49250275316_032022-I.jpg",NA,NA
"MLM1412337273","Motorola Moto G60 128gb - 6gb Ram Desbloqueado Dual Negro",183830593,4399,"new","http://http2.mlstatic.com/D_721058-MLM49777093646_042022-O.jpg",NA,NA
"MLM912129985","Celular Motolora Moto G60 Dorado 128gb 6gb",399712329,5299,"new","http://http2.mlstatic.com/D_875249-MLM45713053251_042021-O.jpg",NA,NA
"MLM1402029648","Motorola Moto G60 6gb 128gb Negro",259475044,4731.09,"new","http://http2.mlstatic.com/D_797315-MLM49592674239_042022-O.jpg",NA,NA
"MLM961159702","Motorola Moto G60 128gb - 6gb Ram Desbloqueado Dual Plata",183830593,4348,"new","http://http2.mlstatic.com/D_613230-MLA46738249347_072021-O.jpg",NA,NA
"MLM1422789313","Celular Motorola Moto G60 Se Plata 128gb + 4gb",399712329,4599,"new","http://http2.mlstatic.com/D_634022-MLM49976167431_052022-O.jpg",NA,NA
"MLM1391520632","Celular Motorola G51 5g 128gb 8gb Ram Azul Cielo",451405081,4349,"new","http://http2.mlstatic.com/D_933246-MLM49357292983_032022-O.jpg",NA,NA
"MLM1419708202"," Motorola G22 64gb - 4gb Ram Desbloqueado Nuevo Negro",183830593,3099,"new","http://http2.mlstatic.com/D_795405-MLM49915255290_052022-O.jpg",NA,NA
"MLM1477447645","Motorola Moto E32s 32gb - 3gb Ram Desbloqueado Dual Plata",183830593,2699,"new","http://http2.mlstatic.com/D_689354-MLM51063168557_082022-O.jpg",NA,NA
"MLM1412008980","Celular Motorola Moto G22 128gb + 4gb Negro",399712329,4499,"new","http://http2.mlstatic.com/D_875554-MLM49771669269_042022-O.jpg",NA,NA
"MLM1346641214","Motorola Moto E40 2021 64gb - 4gb Ram Desbloqueado Dual Gris",183830593,2885,"new","http://http2.mlstatic.com/D_855383-MLA48233896634_112021-O.jpg",NA,NA
"MLM1400803650","Celular Moto Edge 30 Pro Verde Cósmico 256gb  + 12gb",399712329,25989,"new","http://http2.mlstatic.com/D_748480-MLM49569710333_042022-O.jpg",NA,NA
"MLM1408991480"," Celular Moto G31 Dual Sim 128 Gb Azul Cielo 4 Gb Ram",451405081,3640,"new","http://http2.mlstatic.com/D_988547-MLA49129527231_022022-O.jpg",NA,NA
"MLM1427747077","Celular Motorola Moto G52 6gb + 256gb Negro",399712329,7499,"new","http://http2.mlstatic.com/D_815962-MLM50137689862_052022-O.jpg",NA,NA
"MLM1427677978","Celular Motorola Moto Edge 30 8gb+128gb Azul Caribe",399712329,11999,"new","http://http2.mlstatic.com/D_966327-MLM50137995580_052022-O.jpg",NA,NA
"MLM1382646853","Celular Motorola Moto G51 5g 128gb + 4gb Azul",399712329,4799,"new","http://http2.mlstatic.com/D_859880-MLM49184787692_022022-O.jpg",NA,NA
"MLM1328093285","Moto G50 Dual Sim 8gb Ram 128gb Rom Gris",539748321,4500,"new","http://http2.mlstatic.com/D_757518-MLM47922886382_102021-O.jpg",NA,NA
"MLM1434644216","Celular Motorola Moto G60  Negro 128+6gb 108mpx Moonless 4g",47011163,4658,"new","http://http2.mlstatic.com/D_670354-MLM50222197194_062022-O.jpg",NA,NA
"MLM1427425270","Celular Moto G22 Dual Sim 4gb Ram 64gb Negro",21618875,3148,"new","http://http2.mlstatic.com/D_638478-MLM51196679539_082022-O.jpg",NA,NA
"MLM1427809243","Celular Motorola Moto G52 6gb+256gb Blanco",399712329,7499,"new","http://http2.mlstatic.com/D_779151-MLM50137964274_052022-O.jpg",NA,NA
"MLM841051754","Motorola One Fusion 128 Gb Esmeralda 4 Gb Ram",399712329,4999,"new","http://http2.mlstatic.com/D_781472-MLA43755397985_102020-I.jpg",NA,NA
"MLM1457969702","Motorola Moto E32 S  64gb - 4gb Ram Desbloqueado Dual Plata",183830593,2999,"new","http://http2.mlstatic.com/D_745848-MLM51063033920_082022-O.jpg",NA,NA
"MLM1391027735","Motorola Moto G60s 128gb - 6gb Ram Desbloqueado Dual Azul",183830593,4455,"new","http://http2.mlstatic.com/D_625118-MLA48183038863_112021-O.jpg",NA,NA
"MLM1440321372","Celular Moto G82 128gb 6gb Ram Negro",451405081,6929,"new","http://http2.mlstatic.com/D_890776-MLM50323340180_062022-O.jpg",NA,NA
"MLM1427740777","Celular Motorola Moto G22 4gb+128gb Blanco",399712329,4499,"new","http://http2.mlstatic.com/D_947501-MLM50305168139_062022-O.jpg",NA,NA
"MLM1452374280","Celular Motorola Moto G82 5g Negro 6gb + 128gb Desbloqueado",399712329,7999,"new","http://http2.mlstatic.com/D_944253-MLM50622673220_072022-O.jpg",NA,NA
"MLM1489272871","Moto Razer 2 5g 256gb Memoria Interna, Impecable",1032617639,16999,"used","http://http2.mlstatic.com/D_975699-MLM51293285840_082022-O.jpg",NA,NA
"MLM1439595171","Motorola Moto G31 Gris 128gb 4gb Ram Nuevo Desbloqueado",616274858,3639,"new","http://http2.mlstatic.com/D_995129-MLA49129352727_022022-O.jpg",NA,NA
"MLM1493586917","Motorola Moto G60 128gb - 6gb Ram Desbloqueado Moonless",1080194498,4099,"new","http://http2.mlstatic.com/D_668002-MLM51380828719_092022-O.jpg",NA,NA
"MLM1472395679","Motorola Edge 30 Android 12 Con 128 Gb 50 Mpx",527927603,9999,"new","http://http2.mlstatic.com/D_898603-MLA50958803772_082022-O.jpg",NA,NA
"MLM1471374770","Celular Motorola Moto G41 128gb + 4gb Ram Oled Nfc Liberado",527927603,4099,"new","http://http2.mlstatic.com/D_691938-MLA50878140644_072022-O.jpg",NA,NA
"MLM1372275944"," Celular Motorola Moto Edge 20 Pro Blanco 256gb + 12gb",399712329,19999,"new","http://http2.mlstatic.com/D_847566-MLA48113011955_112021-O.jpg",NA,NA
"MLM1410456415","Motorola Moto E40 2021 64gb - 4gb Ram Desbloqueado Dual Rosa",183830593,2885,"new","http://http2.mlstatic.com/D_626326-MLA48233896647_112021-O.jpg",NA,NA
"MLM1357486084"," Moto E20 32 Gb Azul Aqua 2 Gb Ram",451405081,2390,"new","http://http2.mlstatic.com/D_723119-MLA48573175431_122021-O.jpg",NA,NA
"MLM1412314441","Motorola Moto E40 2021 64gb - 4gb Ram Desbloqueado Rosa",183830593,2899,"new","http://http2.mlstatic.com/D_877382-MLA48573343252_122021-O.jpg",NA,NA
